OrderID,CustomerID,OrderDate,OrderStatus,PaymentMethod,ShippingCost
O001,C001,2019-02-01,Completed,Cash,5.00
O002,C002,03/15/2019,Pendng,Card,0
O003,C005,2018-11-05,Cancelled,CHECK,$3.50
O004,C010,2017-04-01,Completed,Cash,4
O005,C020,2018-07-22,completed,Card,0
O006,C015,2020-05-10,Pending,,5
O007,C030,,Completed,Cash,
O008,C035,2019/06/07,Pending,Goat,0
O009,C001,2019-03-15,Completed,Card,2
O010,C007,2018-01-14,Cancelled,Check,1.50
O011,C012,2018-12-01,Completed,Cash,3.25
O012,C019,2019-02-03,Pending,Card,
O013,C025,2019-09-01,,Cash,0
O014,C018,2018-07-07,Completed,CARD,5
O015,C008,1998-06-26,Pending,Cash,0
O016,C011,2001-04-04,Cancelled,CHECK,$0.00
O017,C006,2016-09-09,Completed,Card,2.50
O018,C004,2018-04-31,Pendng,Cash,
O019,C009,1997-01-01,Completed,CARD,3
O020,C022,2017-01-03,Pending,Check,$0.00
O021,C003,2018-11-05,Completed,Card,2
O022,C014,2000-11-05,Cancelled,Cash,5.25
O023,C013,2019-10-10,Completed,,1
O024,C021,2016-09-01,Completed,Cash,0
O025,C023,2017-02-15,Pendng,Card,4.50
O026,C024,2017-06-18,Completed,Cash,
O027,C016,2021-05-01,Pending,Card,3
O028,C017,2018-07-07,Cancelled,CHECK,0
O029,C026,18-07-2018,Completed,Cash,2.75
O030,C027,2020-10-10,Pending,CARD,
O031,C028,2018-01-01,Completed,Card,0
O032,C029,2018-10-11,Completed,Cash,1.25
O033,C030,2019-03-01,Pending,,0
O034,C031,2022-01-01,Completed,CARD,3
O035,C032,2020-02-20,Cancelled,Card,5.50
O036,C033,2017-07-07,Completed,Cash,2.25
O037,C034,2019-06-06,Pending,Check,0
O038,C035,2019/06/07,Completed,Cash,1
O039,C036,2012-01-01,Completed,CARD,0
O040,C037,2014-11-22,Pending,Cash,4.50
O041,C038,2003-01-01,Completed,Card,3.25
O042,C039,2003-01-01,Completed,CASH,0
O043,C040,1000-13-01,Pendng,Cash,0
O044,C041,2025-06-06,Completed,Card,5
O045,C042,2020-03-03,Pending,CASH,0
O046,C043,2019-09-09,Completed,Check,2
O047,C044,2002-12-12,Cancelled,Cash,0
O048,C045,1995-09-10,Completed,CARD,3
O049,C046,2005-03-24,Completed,Card,0
O050,C047,2005-03-25,Pending,Cash,1
O051,C048,2005-04-01,Completed,Card,0
O052,C049,2006-02-10,Pendng,Cash,2.25
O053,C050,?,Cancelled,Card,0
O054,C002,03/20/2019,Completed,Cash,1
O055,C003,2018-11-06,Pending,Card,0
O056,C004,2018-05-01,Cancelled,CHECK,3.50
O057,C005,2018-11-06,Completed,Cash,0
O058,C006,2016-09-10,Completed,Card,2
O059,C007,2020-01-14,Pending,Cash,0
O060,C008,1998-07-01,Completed,Card,3
O061,C009,1997-02-02,Cancelled,Cash,0
O062,C010,2017-04-02,Pending,Card,2
O063,C011,2001-04-05,Completed,CHECK,0
O064,C012,2018-12-02,Completed,Cash,1
O065,C013,2019-10-12,Pending,Card,0
O066,C014,2000-11-06,Completed,Cash,5
O067,C015,2020-05-11,Cancelled,Card,0
O068,C016,2021-05-02,Completed,Cash,2.50
O069,C017,2018-07-08,Pending,Card,0
O070,C018,2018-07-08,Completed,CHECK,3
O071,C019,2019-02-05,Completed,Cash,0
O072,C020,2018-07-23,Pending,Card,4
O073,C021,2016-09-02,Completed,Cash,0
O074,C022,2017-01-04,Cancelled,Card,1
O075,C023,2017-02-16,Pending,Cash,0
O076,C024,2017-06-19,Completed,Card,2
O077,C025,2019-09-02,Pending,Cash,0
O078,C026,2018-07-19,Completed,Card,3
O079,C027,2020-10-12,Cancelled,Cash,0
O080,C028,2018-01-02,Pending,Card,2
O081,C029,2018-10-12,Completed,Cash,0
O082,C030,2019-03-02,Pending,Card,1.50
O083,C031,2022-01-02,Completed,Cash,0
O084,C032,2020-02-21,Cancelled,Card,3
O085,C033,2017-07-08,Completed,Cash,0
O086,C034,2019-06-07,Pending,Card,2
O087,C035,2019/06/08,Completed,Cash,0
O088,C036,2012-01-02,Cancelled,Card,5
O089,C037,2014-11-23,Pending,Cash,0
O090,C038,2003-01-02,Completed,Card,3
O091,C039,2003-01-02,Completed,CASH,0
O092,C040,1000-14-01,Pendng,Cash,0
O093,C041,2025-06-07,Completed,Card,5
O094,C042,2020-03-04,Pending,CASH,0
O095,C043,2019-09-10,Completed,Check,2
O096,C044,2002-12-13,Cancelled,Cash,0
O097,C045,1995-09-11,Completed,CARD,3
O098,C046,2005-03-26,Completed,Card,0
O099,C047,2005-03-26,Pending,Cash,1
O100,C048,2005-04-02,Completed,Card,0
O101,C049,2006-02-11,Pendng,Cash,2
O102,C050,?,Cancelled,Card,0
O103,C001,2019-02-02,Completed,Cash,1
O104,C002,03/16/2019,Pending,Card,0
O105,C003,2018-11-07,Cancelled,CHECK,3.50
O106,C004,2018-05-02,Completed,Cash,0
O107,C005,2018-11-07,Completed,Card,2
O108,C006,2016-09-11,Pending,Cash,0
O109,C007,2020-01-15,Completed,Card,3
O110,C008,1998-07-02,Cancelled,Cash,0
O111,C009,1997-02-03,Pending,Card,2
O112,C010,2017-04-03,Completed,CHECK,0
O113,C011,2001-04-06,Completed,Cash,1
O114,C012,2018-12-03,Pending,Card,0
O115,C013,2019-10-13,Completed,Cash,5
O116,C014,2000-11-07,Pending,Card,0
O117,C015,2020-05-12,Completed,Cash,2
O118,C016,2021-05-03,Cancelled,Card,0
O119,C017,2018-07-09,Completed,CHECK,3
O120,C018,2018-07-09,Pending,Cash,0
O121,C019,2019-02-06,Completed,Card,1
O122,C020,2018-07-24,Pending,Cash,0
O123,C021,2016-09-03,Completed,Card,2
O124,C022,2017-01-05,Cancelled,Cash,0
O125,C023,2017-02-17,Pending,Card,3
O126,C024,2017-06-20,Completed,Cash,0
O127,C025,2019-09-03,Pending,Card,2
O128,C026,2018-07-20,Completed,Cash,0
O129,C027,2020-10-13,Cancelled,Card,3
O130,C028,2018-01-03,Pending,Cash,0
O131,C029,2018,,,